,date,counts
0,2018-01-01,156
1,2018-01-02,171
2,2018-01-03,157
3,2018-01-04,168
4,2018-01-05,143
5,2018-01-06,168
6,2018-01-07,162
7,2018-01-08,166
8,2018-01-09,164
9,2018-01-10,166
10,2018-01-11,193
11,2018-01-12,178
12,2018-01-13,149
13,2018-01-14,155
14,2018-01-15,150
15,2018-01-16,159
16,2018-01-17,167
17,2018-01-18,173
18,2018-01-19,165
19,2018-01-20,178
20,2018-01-21,187
21,2018-01-22,167
22,2018-01-23,177
23,2018-01-24,176
24,2018-01-25,158
25,2018-01-26,155
26,2018-01-27,157
27,2018-01-28,158
28,2018-01-29,148
29,2018-01-30,167
30,2018-01-31,117
31,2018-02-01,160
32,2018-02-02,168
33,2018-02-03,158
34,2018-02-04,178
35,2018-02-05,185
36,2018-02-06,170
37,2018-02-07,141
38,2018-02-08,131
39,2018-02-09,135
40,2018-02-10,143
41,2018-02-11,151
42,2018-02-12,166
43,2018-02-13,164
44,2018-02-14,179
45,2018-02-15,131
46,2018-02-16,157
47,2018-02-17,149
48,2018-02-18,162
49,2018-02-19,162
50,2018-02-20,141
51,2018-02-21,169
52,2018-02-22,149
53,2018-02-23,148
54,2018-02-24,145
55,2018-02-25,171
56,2018-02-26,141
57,2018-02-27,160
58,2018-02-28,155
59,2018-03-01,165
60,2018-03-02,156
61,2018-03-03,180
62,2018-03-04,148
63,2018-03-05,149
64,2018-03-06,156
65,2018-03-07,157
66,2018-03-08,162
67,2018-03-09,146
68,2018-03-10,140
69,2018-03-11,153
70,2018-03-12,161
71,2018-03-13,158
72,2018-03-14,144
73,2018-03-15,144
74,2018-03-16,156
75,2018-03-17,149
76,2018-03-18,151
77,2018-03-19,155
78,2018-03-20,127
79,2018-03-21,152
80,2018-03-22,143
81,2018-03-23,133
82,2018-03-24,156
83,2018-03-25,135
84,2018-03-26,150
85,2018-03-27,152
86,2018-03-28,135
87,2018-03-29,152
88,2018-03-30,162
89,2018-03-31,128
90,2018-04-01,162
91,2018-04-02,156
92,2018-04-03,163
93,2018-04-04,147
94,2018-04-05,156
95,2018-04-06,138
96,2018-04-07,180
97,2018-04-08,161
98,2018-04-09,147
99,2018-04-10,164
100,2018-04-11,161
101,2018-04-12,154
102,2018-04-13,165
103,2018-04-14,137
104,2018-04-15,163
105,2018-04-16,141
106,2018-04-17,162
107,2018-04-18,160
108,2018-04-19,178
109,2018-04-20,137
110,2018-04-21,159
111,2018-04-22,160
112,2018-04-23,153
113,2018-04-24,159
114,2018-04-25,123
115,2018-04-26,141
116,2018-04-27,142
117,2018-04-28,128
118,2018-04-29,158
119,2018-04-30,155
120,2018-05-01,158
121,2018-05-02,140
122,2018-05-03,151
123,2018-05-04,138
124,2018-05-05,161
125,2018-05-06,137
126,2018-05-07,150
127,2018-05-08,139
128,2018-05-09,160
129,2018-05-10,154
130,2018-05-11,127
131,2018-05-12,165
132,2018-05-13,148
133,2018-05-14,132
134,2018-05-15,146
135,2018-05-16,179
136,2018-05-17,132
137,2018-05-18,148
138,2018-05-19,154
139,2018-05-20,144
140,2018-05-21,157
141,2018-05-22,151
142,2018-05-23,162
143,2018-05-24,143
144,2018-05-25,176
145,2018-05-26,162
146,2018-05-27,164
147,2018-05-28,156
148,2018-05-29,139
149,2018-05-30,174
150,2018-05-31,170
151,2018-06-01,166
152,2018-06-02,152
153,2018-06-03,163
154,2018-06-04,183
155,2018-06-05,175
156,2018-06-06,147
157,2018-06-07,143
158,2018-06-08,145
159,2018-06-09,143
160,2018-06-10,127
161,2018-06-11,140
162,2018-06-12,145
163,2018-06-13,143
164,2018-06-14,153
165,2018-06-15,153
166,2018-06-16,166
167,2018-06-17,157
168,2018-06-18,164
169,2018-06-19,155
170,2018-06-20,155
171,2018-06-21,170
172,2018-06-22,151
173,2018-06-23,160
174,2018-06-24,171
175,2018-06-25,157
176,2018-06-26,146
177,2018-06-27,121
178,2018-06-28,157
179,2018-06-29,151
180,2018-06-30,141
181,2018-07-01,147
182,2018-07-02,141
183,2018-07-03,116
184,2018-07-04,134
185,2018-07-05,137
186,2018-07-06,160
187,2018-07-07,156
188,2018-07-08,158
189,2018-07-09,136
190,2018-07-10,149
191,2018-07-11,135
192,2018-07-12,141
193,2018-07-13,143
194,2018-07-14,133
195,2018-07-15,133
196,2018-07-16,120
197,2018-07-17,159
198,2018-07-18,174
199,2018-07-19,171
200,2018-07-20,154
201,2018-07-21,137
202,2018-07-22,182
203,2018-07-23,166
204,2018-07-24,159
205,2018-07-25,177
206,2018-07-26,165
207,2018-07-27,167
208,2018-07-28,145
209,2018-07-29,170
210,2018-07-30,134
211,2018-07-31,147
212,2018-08-01,150
213,2018-08-02,153
214,2018-08-03,166
215,2018-08-04,176
216,2018-08-05,160
217,2018-08-06,131
218,2018-08-07,151
219,2018-08-08,158
220,2018-08-09,149
221,2018-08-10,176
222,2018-08-11,170
223,2018-08-12,155
224,2018-08-13,150
225,2018-08-14,136
226,2018-08-15,161
227,2018-08-16,158
228,2018-08-17,152
229,2018-08-18,160
230,2018-08-19,145
231,2018-08-20,150
232,2018-08-21,148
233,2018-08-22,160
234,2018-08-23,149
235,2018-08-24,146
236,2018-08-25,135
237,2018-08-26,173
238,2018-08-27,185
239,2018-08-28,153
240,2018-08-29,139
241,2018-08-30,154
242,2018-08-31,155
243,2018-09-01,151
244,2018-09-02,144
245,2018-09-03,144
246,2018-09-04,126
247,2018-09-05,132
248,2018-09-06,150
249,2018-09-07,152
250,2018-09-08,150
251,2018-09-09,163
252,2018-09-10,135
253,2018-09-11,141
254,2018-09-12,168
255,2018-09-13,148
256,2018-09-14,132
257,2018-09-15,140
258,2018-09-16,139
259,2018-09-17,135
260,2018-09-18,142
261,2018-09-19,156
262,2018-09-20,154
263,2018-09-21,144
264,2018-09-22,155
265,2018-09-23,150
266,2018-09-24,148
267,2018-09-25,169
268,2018-09-26,139
269,2018-09-27,143
270,2018-09-28,154
271,2018-09-29,152
272,2018-09-30,163
273,2018-10-01,158
274,2018-10-02,137
275,2018-10-03,145
276,2018-10-04,150
277,2018-10-05,130
278,2018-10-06,125
279,2018-10-07,142
280,2018-10-08,135
281,2018-10-09,130
282,2018-10-10,144
283,2018-10-11,159
284,2018-10-12,132
285,2018-10-13,141
286,2018-10-14,114
287,2018-10-15,162
288,2018-10-16,135
289,2018-10-17,138
290,2018-10-18,138
291,2018-10-19,142
292,2018-10-20,143
293,2018-10-21,138
294,2018-10-22,155
295,2018-10-23,154
296,2018-10-24,113
297,2018-10-25,137
298,2018-10-26,143
299,2018-10-27,136
300,2018-10-28,140
301,2018-10-29,146
302,2018-10-30,154
303,2018-10-31,163
304,2018-11-01,154
305,2018-11-02,143
306,2018-11-03,161
307,2018-11-04,123
308,2018-11-05,144
309,2018-11-06,128
310,2018-11-07,130
311,2018-11-08,121
312,2018-11-09,127
313,2018-11-10,131
314,2018-11-11,146
315,2018-11-12,140
316,2018-11-13,120
317,2018-11-14,135
318,2018-11-15,127
319,2018-11-16,126
320,2018-11-17,145
321,2018-11-18,123
322,2018-11-19,126
323,2018-11-20,132
324,2018-11-21,105
325,2018-11-22,122
326,2018-11-23,125
327,2018-11-24,143
328,2018-11-25,127
329,2018-11-26,111
330,2018-11-27,131
331,2018-11-28,118
332,2018-11-29,105
333,2018-11-30,101
334,2018-12-01,124
335,2018-12-02,114
336,2018-12-03,114
337,2018-12-04,138
338,2018-12-05,130
339,2018-12-06,135
340,2018-12-07,114
341,2018-12-08,127
342,2018-12-09,128
343,2018-12-10,124
344,2018-12-11,125
345,2018-12-12,120
346,2018-12-13,131
347,2018-12-14,146
348,2018-12-15,149
349,2018-12-16,115
350,2018-12-17,160
351,2018-12-18,128
352,2018-12-19,149
353,2018-12-20,135
354,2018-12-21,140
355,2018-12-22,175
356,2018-12-23,176
357,2018-12-24,152
358,2018-12-25,159
359,2018-12-26,157
360,2018-12-27,174
361,2018-12-28,167
362,2018-12-29,138
363,2018-12-30,176
364,2018-12-31,155
