,date,state,price
0,2018-01-01,AK,6.016666666666667e-08
1,2018-01-01,AL,3.219444444444445e-08
2,2018-01-01,AR,2.5999999999999998e-08
3,2018-01-01,AZ,3.4e-08
4,2018-01-01,CA,5.308333333333333e-08
5,2018-01-01,CO,3.211111111111111e-08
6,2018-01-01,CT,5.55e-08
7,2018-01-01,DC,3.416666666666667e-08
8,2018-01-01,DE,3.3000000000000004e-08
9,2018-01-01,FL,3.3416666666666665e-08
10,2018-01-01,GA,2.9694444444444445e-08
11,2018-01-01,HI,8.655555555555555e-08
12,2018-01-01,IA,3.036111111111111e-08
13,2018-01-01,ID,2.866666666666667e-08
14,2018-01-01,IL,3.469444444444444e-08
15,2018-01-01,IN,3.0805555555555555e-08
16,2018-01-01,KS,3.352777777777778e-08
17,2018-01-01,KY,2.7166666666666665e-08
18,2018-01-01,LA,2.4222222222222225e-08
19,2018-01-01,MA,5.980555555555556e-08
20,2018-01-01,MD,3.6000000000000005e-08
21,2018-01-01,ME,4.4472222222222225e-08
22,2018-01-01,MI,4.238888888888889e-08
23,2018-01-01,MN,3.45e-08
24,2018-01-01,MO,2.5527777777777777e-08
25,2018-01-01,MS,2.8805555555555553e-08
26,2018-01-01,MT,2.9694444444444445e-08
27,2018-01-01,NC,2.8527777777777777e-08
28,2018-01-01,ND,2.5e-08
29,2018-01-01,NE,2.5805555555555553e-08
30,2018-01-01,NH,5.3416666666666665e-08
31,2018-01-01,NJ,4.316666666666666e-08
32,2018-01-01,NM,3.311111111111111e-08
33,2018-01-01,NV,3.4444444444444444e-08
34,2018-01-01,NY,4.9305555555555555e-08
35,2018-01-01,OH,3.286111111111111e-08
36,2018-01-01,OK,2.4416666666666664e-08
37,2018-01-01,OR,2.9249999999999997e-08
38,2018-01-01,PA,3.797222222222222e-08
39,2018-01-01,RI,6.177777777777777e-08
40,2018-01-01,SC,3.472222222222222e-08
41,2018-01-01,SD,2.9750000000000002e-08
42,2018-01-01,TN,2.783333333333333e-08
43,2018-01-01,TX,3.0083333333333335e-08
44,2018-01-01,UT,2.8777777777777776e-08
45,2018-01-01,VA,3.038888888888889e-08
46,2018-01-01,VT,4.822222222222222e-08
47,2018-01-01,WA,2.6416666666666665e-08
48,2018-01-01,WI,3.891666666666667e-08
49,2018-01-01,WV,3.069444444444445e-08
50,2018-01-01,WY,3.0083333333333335e-08
51,2018-02-01,AK,5.8611111111111115e-08
52,2018-02-01,AL,3.4138888888888885e-08
53,2018-02-01,AR,2.7222222222222226e-08
54,2018-02-01,AZ,3.3888888888888886e-08
55,2018-02-01,CA,5.311111111111111e-08
56,2018-02-01,CO,3.258333333333334e-08
57,2018-02-01,CT,5.994444444444444e-08
58,2018-02-01,DC,3.716666666666667e-08
59,2018-02-01,DE,3.4999999999999996e-08
60,2018-02-01,FL,3.3722222222222224e-08
61,2018-02-01,GA,3.0083333333333335e-08
62,2018-02-01,HI,8.755555555555555e-08
63,2018-02-01,IA,3.2361111111111115e-08
64,2018-02-01,ID,2.8055555555555553e-08
65,2018-02-01,IL,3.397222222222222e-08
66,2018-02-01,IN,3.2e-08
67,2018-02-01,KS,3.5694444444444445e-08
68,2018-02-01,KY,2.8777777777777776e-08
69,2018-02-01,LA,2.483333333333333e-08
70,2018-02-01,MA,6.163888888888889e-08
71,2018-02-01,MD,3.7277777777777776e-08
72,2018-02-01,ME,4.502777777777778e-08
73,2018-02-01,MI,4.3388888888888885e-08
74,2018-02-01,MN,3.488888888888889e-08
75,2018-02-01,MO,2.7166666666666665e-08
76,2018-02-01,MS,3.1277777777777776e-08
77,2018-02-01,MT,2.972222222222222e-08
78,2018-02-01,NC,3.1777777777777773e-08
79,2018-02-01,ND,2.541666666666667e-08
80,2018-02-01,NE,2.6666666666666667e-08
81,2018-02-01,NH,5.5055555555555557e-08
82,2018-02-01,NJ,4.405555555555555e-08
83,2018-02-01,NM,3.391666666666667e-08
84,2018-02-01,NV,3.472222222222222e-08
85,2018-02-01,NY,5.0555555555555556e-08
86,2018-02-01,OH,3.4138888888888885e-08
87,2018-02-01,OK,2.736111111111111e-08
88,2018-02-01,OR,2.980555555555556e-08
89,2018-02-01,PA,3.875e-08
90,2018-02-01,RI,6.016666666666667e-08
91,2018-02-01,SC,3.6000000000000005e-08
92,2018-02-01,SD,2.988888888888889e-08
93,2018-02-01,TN,2.8694444444444446e-08
94,2018-02-01,TX,3.075e-08
95,2018-02-01,UT,2.8916666666666668e-08
96,2018-02-01,VA,3.186111111111111e-08
97,2018-02-01,VT,5.0083333333333335e-08
98,2018-02-01,WA,2.65e-08
99,2018-02-01,WI,3.969444444444444e-08
100,2018-02-01,WV,3.161111111111111e-08
101,2018-02-01,WY,3.0166666666666665e-08
102,2018-03-01,AK,5.9583333333333334e-08
103,2018-03-01,AL,3.513888888888889e-08
104,2018-03-01,AR,2.9083333333333336e-08
105,2018-03-01,AZ,3.441666666666667e-08
106,2018-03-01,CA,5.127777777777778e-08
107,2018-03-01,CO,3.255555555555556e-08
108,2018-03-01,CT,5.844444444444444e-08
109,2018-03-01,DC,3.383333333333333e-08
110,2018-03-01,DE,3.438888888888889e-08
111,2018-03-01,FL,3.263888888888889e-08
112,2018-03-01,GA,3.147222222222222e-08
113,2018-03-01,HI,8.902777777777777e-08
114,2018-03-01,IA,3.3472222222222225e-08
115,2018-03-01,ID,2.775e-08
116,2018-03-01,IL,3.536111111111111e-08
117,2018-03-01,IN,3.369444444444445e-08
118,2018-03-01,KS,3.7055555555555554e-08
119,2018-03-01,KY,2.9305555555555558e-08
120,2018-03-01,LA,2.7194444444444442e-08
121,2018-03-01,MA,6.247222222222222e-08
122,2018-03-01,MD,3.602777777777778e-08
123,2018-03-01,ME,4.333333333333333e-08
124,2018-03-01,MI,4.3194444444444446e-08
125,2018-03-01,MN,3.5305555555555555e-08
126,2018-03-01,MO,2.9111111111111113e-08
127,2018-03-01,MS,3.344444444444444e-08
128,2018-03-01,MT,3.011111111111111e-08
129,2018-03-01,NC,3.1027777777777777e-08
130,2018-03-01,ND,2.6805555555555555e-08
131,2018-03-01,NE,2.8444444444444447e-08
132,2018-03-01,NH,5.522222222222222e-08
133,2018-03-01,NJ,4.2805555555555556e-08
134,2018-03-01,NM,3.519444444444445e-08
135,2018-03-01,NV,3.5055555555555556e-08
136,2018-03-01,NY,4.869444444444445e-08
137,2018-03-01,OH,3.486111111111111e-08
138,2018-03-01,OK,3.013888888888889e-08
139,2018-03-01,OR,2.9833333333333336e-08
140,2018-03-01,PA,3.8694444444444446e-08
141,2018-03-01,RI,5.613888888888889e-08
142,2018-03-01,SC,3.602777777777778e-08
143,2018-03-01,SD,3.011111111111111e-08
144,2018-03-01,TN,3.097222222222222e-08
145,2018-03-01,TX,3.211111111111111e-08
146,2018-03-01,UT,2.8999999999999998e-08
147,2018-03-01,VA,3.2527777777777783e-08
148,2018-03-01,VT,4.8888888888888894e-08
149,2018-03-01,WA,2.6805555555555555e-08
150,2018-03-01,WI,4.002777777777778e-08
151,2018-03-01,WV,3.1749999999999996e-08
152,2018-03-01,WY,3.069444444444445e-08
153,2018-04-01,AK,5.997222222222222e-08
154,2018-04-01,AL,3.552777777777778e-08
155,2018-04-01,AR,2.7777777777777777e-08
156,2018-04-01,AZ,3.638888888888889e-08
157,2018-04-01,CA,4.466666666666666e-08
158,2018-04-01,CO,3.35e-08
159,2018-04-01,CT,5.955555555555556e-08
160,2018-04-01,DC,3.811111111111111e-08
161,2018-04-01,DE,3.5694444444444445e-08
162,2018-04-01,FL,3.155555555555555e-08
163,2018-04-01,GA,3.108333333333333e-08
164,2018-04-01,HI,8.669444444444445e-08
165,2018-04-01,IA,3.4e-08
166,2018-04-01,ID,2.813888888888889e-08
167,2018-04-01,IL,3.622222222222222e-08
168,2018-04-01,IN,3.4194444444444445e-08
169,2018-04-01,KS,3.7666666666666666e-08
170,2018-04-01,KY,2.95e-08
171,2018-04-01,LA,2.7222222222222226e-08
172,2018-04-01,MA,6.191666666666667e-08
173,2018-04-01,MD,3.7138888888888885e-08
174,2018-04-01,ME,4.375e-08
175,2018-04-01,MI,4.35e-08
176,2018-04-01,MN,3.575e-08
177,2018-04-01,MO,2.8777777777777776e-08
178,2018-04-01,MS,3.3805555555555555e-08
179,2018-04-01,MT,3.061111111111111e-08
180,2018-04-01,NC,3.302777777777778e-08
181,2018-04-01,ND,2.7861111111111108e-08
182,2018-04-01,NE,2.9277777777777774e-08
183,2018-04-01,NH,5.5e-08
184,2018-04-01,NJ,4.333333333333333e-08
185,2018-04-01,NM,3.494444444444444e-08
186,2018-04-01,NV,3.4277777777777776e-08
187,2018-04-01,NY,5e-08
188,2018-04-01,OH,3.5166666666666664e-08
189,2018-04-01,OK,3.069444444444445e-08
190,2018-04-01,OR,3.0166666666666665e-08
191,2018-04-01,PA,3.911111111111111e-08
192,2018-04-01,RI,5.686111111111111e-08
193,2018-04-01,SC,3.669444444444445e-08
194,2018-04-01,SD,3.1194444444444445e-08
195,2018-04-01,TN,3.002777777777778e-08
196,2018-04-01,TX,3.219444444444445e-08
197,2018-04-01,UT,2.922222222222222e-08
198,2018-04-01,VA,3.291666666666667e-08
199,2018-04-01,VT,4.977777777777778e-08
200,2018-04-01,WA,2.7055555555555557e-08
201,2018-04-01,WI,4.080555555555555e-08
202,2018-04-01,WV,3.186111111111111e-08
203,2018-04-01,WY,3.1361111111111106e-08
204,2018-05-01,AK,6.15e-08
205,2018-05-01,AL,3.469444444444444e-08
206,2018-05-01,AR,2.7472222222222224e-08
207,2018-05-01,AZ,3.6944444444444447e-08
208,2018-05-01,CA,5.252777777777778e-08
209,2018-05-01,CO,3.3222222222222226e-08
210,2018-05-01,CT,5.983333333333333e-08
211,2018-05-01,DC,3.813888888888889e-08
212,2018-05-01,DE,3.813888888888889e-08
213,2018-05-01,FL,3.2055555555555556e-08
214,2018-05-01,GA,3.227777777777778e-08
215,2018-05-01,HI,8.897222222222223e-08
216,2018-05-01,IA,3.6888888888888886e-08
217,2018-05-01,ID,2.9305555555555558e-08
218,2018-05-01,IL,3.669444444444445e-08
219,2018-05-01,IN,3.416666666666667e-08
220,2018-05-01,KS,3.7527777777777775e-08
221,2018-05-01,KY,2.961111111111111e-08
222,2018-05-01,LA,2.647222222222222e-08
223,2018-05-01,MA,6.011111111111112e-08
224,2018-05-01,MD,3.702777777777778e-08
225,2018-05-01,ME,4.5194444444444444e-08
226,2018-05-01,MI,4.422222222222222e-08
227,2018-05-01,MN,3.825e-08
228,2018-05-01,MO,3.458333333333333e-08
229,2018-05-01,MS,3.352777777777778e-08
230,2018-05-01,MT,3.1749999999999996e-08
231,2018-05-01,NC,3.169444444444444e-08
232,2018-05-01,ND,3.1277777777777776e-08
233,2018-05-01,NE,3.172222222222222e-08
234,2018-05-01,NH,5.4888888888888895e-08
235,2018-05-01,NJ,4.411111111111111e-08
236,2018-05-01,NM,3.3722222222222224e-08
237,2018-05-01,NV,3.3472222222222225e-08
238,2018-05-01,NY,5.1444444444444444e-08
239,2018-05-01,OH,3.558333333333334e-08
240,2018-05-01,OK,2.8027777777777776e-08
241,2018-05-01,OR,3.111111111111111e-08
242,2018-05-01,PA,3.977777777777778e-08
243,2018-05-01,RI,5.563888888888889e-08
244,2018-05-01,SC,3.5694444444444445e-08
245,2018-05-01,SD,3.361111111111111e-08
246,2018-05-01,TN,3.019444444444444e-08
247,2018-05-01,TX,3.2222222222222224e-08
248,2018-05-01,UT,2.997222222222222e-08
249,2018-05-01,VA,3.411111111111111e-08
250,2018-05-01,VT,5.097222222222222e-08
251,2018-05-01,WA,2.6944444444444443e-08
252,2018-05-01,WI,4.2250000000000004e-08
253,2018-05-01,WV,3.272222222222222e-08
254,2018-05-01,WY,3.327777777777778e-08
255,2018-06-01,AK,6.252777777777779e-08
256,2018-06-01,AL,3.447222222222222e-08
257,2018-06-01,AR,2.775e-08
258,2018-06-01,AZ,3.6555555555555556e-08
259,2018-06-01,CA,5.527777777777777e-08
260,2018-06-01,CO,3.411111111111111e-08
261,2018-06-01,CT,6.005555555555556e-08
262,2018-06-01,DC,3.35e-08
263,2018-06-01,DE,3.669444444444445e-08
264,2018-06-01,FL,3.158333333333333e-08
265,2018-06-01,GA,3.4055555555555554e-08
266,2018-06-01,HI,9.1e-08
267,2018-06-01,IA,3.836111111111111e-08
268,2018-06-01,ID,2.938888888888889e-08
269,2018-06-01,IL,3.488888888888889e-08
270,2018-06-01,IN,3.338888888888889e-08
271,2018-06-01,KS,3.738888888888889e-08
272,2018-06-01,KY,2.9333333333333335e-08
273,2018-06-01,LA,2.6027777777777775e-08
274,2018-06-01,MA,5.8611111111111115e-08
275,2018-06-01,MD,3.866666666666667e-08
276,2018-06-01,ME,4.486111111111111e-08
277,2018-06-01,MI,4.463888888888889e-08
278,2018-06-01,MN,3.913888888888889e-08
279,2018-06-01,MO,3.675e-08
280,2018-06-01,MS,3.208333333333333e-08
281,2018-06-01,MT,3.291666666666667e-08
282,2018-06-01,NC,3.122222222222222e-08
283,2018-06-01,ND,3.352777777777778e-08
284,2018-06-01,NE,3.141666666666667e-08
285,2018-06-01,NH,5.4527777777777775e-08
286,2018-06-01,NJ,4.3444444444444445e-08
287,2018-06-01,NM,3.7138888888888885e-08
288,2018-06-01,NV,3.241666666666667e-08
289,2018-06-01,NY,5.361111111111111e-08
290,2018-06-01,OH,3.511111111111111e-08
291,2018-06-01,OK,2.977777777777778e-08
292,2018-06-01,OR,3.061111111111111e-08
293,2018-06-01,PA,3.975e-08
294,2018-06-01,RI,5.177777777777778e-08
295,2018-06-01,SC,3.5861111111111113e-08
296,2018-06-01,SD,3.441666666666667e-08
297,2018-06-01,TN,2.997222222222222e-08
298,2018-06-01,TX,3.155555555555555e-08
299,2018-06-01,UT,2.952777777777778e-08
300,2018-06-01,VA,3.4444444444444444e-08
301,2018-06-01,VT,5.138888888888889e-08
302,2018-06-01,WA,2.7194444444444442e-08
303,2018-06-01,WI,3.9666666666666665e-08
304,2018-06-01,WV,3.2138888888888887e-08
305,2018-06-01,WY,3.416666666666667e-08
